CODE,DESCRIPTION,MAKE,HAS_DETAILS,SEATS,SEAT_GROUP,OVERALL_LENGTH,WING_SPAN,TAIL_HEIGHT
643,1124A Westwind II,N/A,F,,,,,
723,A200-100 BD-500-1A10,N/A,F,,,,,
724,A220-300 BD-500-1A11,Airbus,T,160,4,"127""0""","115'01""","38'08"""
103,Aero Commander (500/600 Series Excpt 680FL),Aero,F,,,,,
611,Aero Commander 1121,Aero,F,,,,,
7,Aero Commander 200,Aero,F,,,,,
8,Aero Macchi AL-60,Aero,F,,,,,
9,Aeronca 7-AC,Aeronca,F,,,,,
680,Aerospatiale Caravelle SE-210,Aerospatiale,F,,,,,
613,Aerospatiale Corvette,Aerospatiale,F,,,,,
441,Aerospatiale/Aeritalia ATR-42,Aerospatiale,F,,,,,
442,Aerospatiale/Aeritalia ATR-72,Aerospatiale,F,,,,,
875,Aerospatiale/British Aerospace Concorde,Aerospatiale,F,,,,,
325,Agusta A-119 Koala,Agusta,F,,,,,
393,Agustawestland AW139,Agustawestland,F,,,,,
370,Air Bus Euro Bo-105,Airbus,F,,,,,
443,Air Tractor AT-802,Air Tractor,F,,,,,
836,Airbus 350-1000,Airbus,F,,,,,
824,Airbus A330-900neo,Airbus,F,,,,,
691,Airbus Industrie A300-600/R/CF/RCF,Airbus,T,274,6,53.9496,44.8056,16.1544
690,Airbus Industrie A300B/C/F-100/200,Airbus,F,,,,,
695,Airbus Industrie A300-B2,Airbus,T,269,6,53.34,44.8056,16.1544
692,Airbus Industrie A310-200C/F,Airbus,T,269,6,53.34,44.8056,16.1544
693,Airbus Industrie A310-300,Airbus,T,243,5,46.6344,43.8912,15.5448
644,Airbus Industrie A-318,Airbus,T,132,3,31.45,34.11,12.75
698,Airbus Industrie A319,Airbus,T,134,3,33.83,34.11,11.89
719,Airbus Industrie A319-200n,Airbus,T,156,4,33.83,34.11,11.89
694,Airbus Industrie A320-100/200,Airbus,T,180,4,37.57,34.11,11.84
722,Airbus Industrie A320-200n,Airbus,T,180,4,37.72,35.81,11.84
699,Airbus Industrie A321/Lr,Airbus,T,220,5,44.5,34.09,11.84
721,Airbus Industrie A321-200n,Airbus,T,220,5,44.5,34.09,11.84
696,Airbus Industrie A330-200,Airbus,T,247,5,59,60.3,17.22
343,Airbus Industrie A330-223/234,Airbus,T,247,5,59,60.3,17.22
687,Airbus Industrie A330-300/333,Airbus,T,247,5,59,60.3,17.22
689,Airbus Industrie A330-600ST (Beluga),Airbus,T,2,1,63.9,60.3,18.8
339,Airbus Industrie A330-900,Airbus,T,310,7,63.7,64.01,17.15
697,Airbus Industrie A340,Airbus,T,2,1,59.39,60.3,16.74
873,Airbus Industrie A340-200,Airbus,T,303,7,59.39,60.3,16.7
871,Airbus Industrie A340-300,Airbus,T,335,7,63.7,60.3,16.66
872,Airbus Industrie A340-500,Airbus,T,313,7,67.95,63.45,17.22
874,Airbus Industrie A340-600,Airbus,T,384,8,75.36,64.45,17.6
359,Airbus Industrie A350-900,Airbus,T,315,7,66.8,64.74,17.15
882,Airbus Industrie A380-800,Airbus,T,555,11,72.57,79.76,24.1
507,Antonov 12,Antonov,T,2,1,,,
880,Antonov 124,Antonov,T,7,1,69.11,73.3,21.79
890,Antonov 225 (6 Engine),Antonov,T,6,1,84,88.39,18.24
444,Antonov 24/26/32,Antonov,T,52,2,,,
508,Antonov An-22 Freighter,Antonov,F,,,,,
607,Antonov An-72/74,Antonov,T,52,2,,,
835,Avroliner RJ85,Avroliner,T,85,2,,,
510,AW-650,Armstrong Whitworth,F,,,,,
887,B787-800 Dreamliner,Boeing,T,242,5,56.72,60.12,16.59
889,B787-900 Dreamliner,Boeing,T,290,6,62.81,60.12,16.81
401,Beech 1300,Beech,F,,,,,
405,Beech 1900 A/B/C/D,Beech,F,,,,,
406,Beech 200 Super Kingair,Beech,F,,,,,
133,Beech 65/65A-80/65B-80 (Queen Air),Beech,F,,,,,
403,Beech 99 Airliner,Beech,F,,,,,
115,Beech AT-11,Beech,F,,,,,
24,Beech B-23 Musketeer,Beech,F,,,,,
113,Beech B-95 (Travelair),Beech,F,,,,,
117,Beech Baron (55 Series),Beech,F,,,,,
